"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"191","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 광주 67, 전북 97, 전남 62, 대구 66, 부산 107, 울산 96, 경북 98, 경남 64, 제주 38 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:41:42,FALSE,NA,"864672245024555008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frankGD87",6,TRUE,FALSE,NA,NA
"192","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:41:39,FALSE,NA,"864672232978563072",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","frankGD87",19,TRUE,FALSE,NA,NA
"193","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:40:50,FALSE,NA,"864672027621195778",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","coco6y",19,TRUE,FALSE,NA,NA
"194","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 광주 67, 전북 97, 전남 62, 대구 66, 부산 107, 울산 96, 경북 98, 경남 64, 제주 38 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:40:45,FALSE,NA,"864672004573585408",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","coco6y",6,TRUE,FALSE,NA,NA
"195","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:26:01,FALSE,NA,"864668298343989249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Limjaeeun_haru",19,TRUE,FALSE,NA,NA
"196","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:25:57,FALSE,NA,"864668280052633601",NA,"<a href=""http://bskt.yubais.net/"" rel=""nofollow"">BossKitter.</a>","Ariell_Air",19,TRUE,FALSE,NA,NA
"197","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:25:50,FALSE,NA,"864668250478493697",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","qbq22",19,TRUE,FALSE,NA,NA
"198","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:25:38,FALSE,NA,"864668199383556096",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Manjyu_M_",19,TRUE,FALSE,NA,NA
"199","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 광주 67, 전북 97, 전남 62, 대구 66, 부산 107, 울산 96, 경북 98, 경남 64, 제주 38 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:25:12,FALSE,NA,"864668089937305600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","merry__eve",6,TRUE,FALSE,NA,NA
"200","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:25:09,FALSE,NA,"864668077744463872",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","merry__eve",19,TRUE,FALSE,NA,NA
"201","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:25:01,FALSE,NA,"864668047604236289",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ton_ton_231",19,TRUE,FALSE,NA,NA
"202","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:25:00,FALSE,NA,"864668039412801536",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","8686runa",19,TRUE,FALSE,NA,NA
"203","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:24:53,FALSE,NA,"864668010144976896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","d_onob",19,TRUE,FALSE,NA,NA
"204","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 광주 67, 전북 97, 전남 62, 대구 66, 부산 107, 울산 96, 경북 98, 경남 64, 제주 38 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:24:15,FALSE,NA,"864667852304826368",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","unmyuo",6,TRUE,FALSE,NA,NA
"205","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:24:11,FALSE,NA,"864667836362268672",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","unmyuo",19,TRUE,FALSE,NA,NA
"206","RT @pm10_bot: 11:00 현재 미세먼지(pm10) 농도: 서울 80, 인천 75, 경기 135, 강원 59, 대전 67, 충북 78, 충남 54 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:24:08,FALSE,NA,"864667822936346625",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","E__ndnd__",19,TRUE,FALSE,NA,NA
"207","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 광주 81, 전북 89, 전남 66, 대구 63, 부산 87, 울산 107, 경북 68, 경남 66, 제주 31 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:22:18,FALSE,NA,"864667363576172545",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rorrorrdd",5,TRUE,FALSE,NA,NA
"208","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 광주 81, 전북 89, 전남 66, 대구 63, 부산 87, 울산 107, 경북 68, 경남 66, 제주 31 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 02:17:59,FALSE,NA,"864666275263401984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","coco6y",5,TRUE,FALSE,NA,NA
"209","@pm10_bot 수치의 의미하는 정도좀 같이 표기해 주세요. 보통, 나쁨이 어느 수치부터 인지 알 수 없으니 숫자는 숫자에 불과할 뿐",FALSE,0,"pm10_bot",2017-05-17 01:45:14,FALSE,"864637566296784896","864658034563231744","726944999120621568","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","woomuse1",0,FALSE,FALSE,NA,NA
"210","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 서울 61, 인천 88, 경기 92, 강원 53, 대전 55, 충북 93, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 01:44:56,FALSE,NA,"864657957174169600",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","coco6y",4,TRUE,FALSE,NA,NA
"211","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 서울 61, 인천 88, 경기 92, 강원 53, 대전 55, 충북 93, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 01:35:36,FALSE,NA,"864655611010600960",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","urinuri7",4,TRUE,FALSE,NA,NA
"212","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 서울 61, 인천 88, 경기 92, 강원 53, 대전 55, 충북 93, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 01:28:50,FALSE,NA,"864653907737190400",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","sannyung_orange",4,TRUE,FALSE,NA,NA
"213","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 광주 81, 전북 89, 전남 66, 대구 63, 부산 87, 울산 107, 경북 68, 경남 66, 제주 31 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 01:25:24,FALSE,NA,"864653041839906816",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","M__Lotuleaf",5,TRUE,FALSE,NA,NA
"214","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 서울 61, 인천 88, 경기 92, 강원 53, 대전 55, 충북 93, 충남 60 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 01:25:23,FALSE,NA,"864653040334143489",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jkko26351",4,TRUE,FALSE,NA,NA
"215","RT @pm10_bot: 10:00 현재 미세먼지(pm10) 농도: 광주 81, 전북 89, 전남 66, 대구 63, 부산 87, 울산 107, 경북 68, 경남 66, 제주 31 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 01:25:20,FALSE,NA,"864653027092738048",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jkko26351",5,TRUE,FALSE,NA,NA
"216","RT @pm10_bot: 09:00 현재 미세먼지(pm10) 농도: 광주 72, 전북 91, 전남 53, 대구 79, 부산 67, 울산 110, 경북 64, 경남 62, 제주 35 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 01:15:11,FALSE,NA,"864650470320504832",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cheek_xo",2,TRUE,FALSE,NA,NA
"217","RT @pm10_bot: 09:00 현재 미세먼지(pm10) 농도: 서울 63, 인천 73, 경기 64, 강원 53, 대전 47, 충북 68, 충남 56 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 00:33:04,FALSE,NA,"864639874594357249",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Limjaeeun_haru",8,TRUE,FALSE,NA,NA
"218","@pm10_bot 전북 울산 심각한 수준입니다",FALSE,0,"pm10_bot",2017-05-17 00:26:34,FALSE,"864637566296784896","864638234822795264","726944999120621568","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wooju5793",0,FALSE,FALSE,NA,NA
"219","RT @pm10_bot: 09:00 현재 미세먼지(pm10) 농도: 서울 63, 인천 73, 경기 64, 강원 53, 대전 47, 충북 68, 충남 56 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 00:26:00,FALSE,NA,"864638094145867777",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wooju5793",8,TRUE,FALSE,NA,NA
"220","RT @pm10_bot: 09:00 현재 미세먼지(pm10) 농도: 광주 72, 전북 91, 전남 53, 대구 79, 부산 67, 울산 110, 경북 64, 경남 62, 제주 35 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 00:25:58,FALSE,NA,"864638084767404032",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wooju5793",2,TRUE,FALSE,NA,NA
"221","RT @pm10_bot: 09:00 현재 미세먼지(pm10) 농도: 서울 63, 인천 73, 경기 64, 강원 53, 대전 47, 충북 68, 충남 56 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 00:25:30,FALSE,NA,"864637966936809472",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gaeaearth",8,TRUE,FALSE,NA,NA
"222","RT @pm10_bot: 09:00 현재 미세먼지(pm10) 농도: 서울 63, 인천 73, 경기 64, 강원 53, 대전 47, 충북 68, 충남 56 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 00:25:27,FALSE,NA,"864637955108884480",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","_ton_ton_231",8,TRUE,FALSE,NA,NA
"223","RT @pm10_bot: 09:00 현재 미세먼지(pm10) 농도: 서울 63, 인천 73, 경기 64, 강원 53, 대전 47, 충북 68, 충남 56 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 00:24:45,FALSE,NA,"864637778369232896",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","liatteswt",8,TRUE,FALSE,NA,NA
"224","RT @pm10_bot: 08:00 현재 미세먼지(pm10) 농도: 서울 55, 인천 64, 경기 70, 강원 50, 대전 57, 충북 66, 충남 56 (단위: ㎍/㎥; 출처: 안전행정부 대기오염정보 조회서비스)",FALSE,0,NA,2017-05-17 00:04:52,FALSE,NA,"864632775021740032",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","8686runa",13,TRUE,FALSE,NA,NA
